stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type
000018_004,ゆりヶ丘入口,,36.27872,139.78314,000018_004,0
000018_005,五料公民館前,,36.27191,139.77774,000018_005,0
000018_007,明野線前,,36.267617,139.775249,000018_007,0
000018_008,美しが丘公園前,,36.264541,139.774797,000018_008,0
000018_009,デンソーテン入口,,36.261452,139.777028,000018_009,0
000018_010,小山南高校,,36.25946,139.778094,000018_010,0
000018_011,美しが丘整骨院,,36.25845,139.77565,000018_011,0
000018_012,団地西,,36.259914,139.773511,000018_012,0
000018_013,富士見公園北,,36.26199,139.76793,000018_013,0
000018_014,平和天神山公園,,36.25959,139.7665,000018_014,0
000018_016,もみじ公園南,,36.25495,139.75955,000018_016,0
000018_017,飯田踏切前,,36.255378,139.758089,000018_017,0
000018_018,乙女公園前,,36.25654,139.75907,000018_018,0
000018_020,乙女上町,,36.26004,139.75804,000018_020,0
000018_021,博物館入口,,36.25999,139.75566,000018_021,0
000018_022,乙女八幡宮入口,,36.25742,139.755225,000018_022,0
000018_023,町谷入口,,36.255721,139.752481,000018_023,0
000018_024,中妻,,36.254182,139.750147,000018_024,0
000018_025,みゅぜ・ど・ぱすてる前,,36.25235,139.747365,000018_025,0
000019_003,小山市役所,,36.31428,139.80052,000019_003,0
000019_004,小山第二小学校前,,36.31064,139.79887,000019_004,0
000019_005,やはた保育所前,,36.30884,139.79719,000019_005,0
000019_006,神明町公民館前,,36.3079,139.79637,000019_006,0
000019_007,竹の台市営住宅前,,36.30525,139.79361,000019_007,0
000019_008,ＪＡおやま本店前,,36.30161,139.79018,000019_008,0
000019_010,県南体育館前,,36.3013,139.78235,000019_010,0
000019_012,ふれあい健康センター前,,36.29652,139.77958,000019_012,0
000019_026,間々田小学校前,,36.26808,139.7643,000019_026,0
000019_027,しらさぎ館前,,36.27082,139.76109,000019_027,0
000019_028,間々田小学校前,,36.268164,139.764308,000019_028,0
000019_039,光南病院,,36.25118,139.74563,000019_039,0
000019_040,磯の宮,,36.24834,139.74161,000019_040,0
000019_041,コウノトリ交流館入口,,36.24269,139.71108,000019_041,0
000019_042,なまいふるさと公園,,36.24102,139.70782,000019_042,0
000019_043,コウノトリ渡良瀬遊水地駅,,36.245133,139.701299,000019_043,0
000019_044,ラムサール渡良瀬遊水地駅,,36.252611,139.693847,000019_044,0
000020_004,コウノトリ交流館入口,,36.24266,139.71073,000020_004,0
000020_005,磯の宮,,36.24826,139.74132,000020_005,0
000020_033,ふれあい健康センター前,,36.29647,139.77952,000020_033,0
000020_035,県南体育館前,,36.30139,139.78235,000020_035,0
000020_037,ＪＡおやま本店前,,36.30174,139.79011,000020_037,0
000020_038,竹の台市営住宅前,,36.30507,139.79323,000020_038,0
000020_039,神明町公民館前,,36.30749,139.79584,000020_039,0
000020_040,やはた保育所前,,36.30928,139.79746,000020_040,0
000020_041,小山第二小学校前,,36.31088,139.79892,000020_041,0
000021_002,駅前上町,【往】,36.31385,139.80471,000021_002,0
000021_004,城山公園入口,【往】,36.31718,139.80214,000021_004,0
000021_005,本郷町二丁目,【往】,36.32091,139.80327,000021_005,0
000021_006,若木町一丁目,【往】,36.32318,139.80353,000021_006,0
000021_007,若木小前,【往】,36.32678,139.80445,000021_007,0
000021_008,小山高校前,【往】,36.32785,139.80524,000021_008,0
000021_009,ハーヴェストウォーク,【往】,36.33455,139.80738,000021_009,0
000021_010,小山温泉思川,,36.33589,139.80567,000021_010,0
000021_011,ハーヴェストウォーク,【復】,36.33434,139.80769,000021_011,0
000021_012,小山高校前,【復】,36.32758,139.80518,000021_012,0
000021_013,若木小前,【復】,36.326701,139.804566,000021_013,0
000021_014,若木町一丁目,【復】,36.32338,139.80362,000021_014,0
000021_015,本郷町二丁目,【復】,36.3202,139.803184,000021_015,0
000021_016,城山公園入口,【復】,36.31724,139.802309,000021_016,0
000021_018,駅前上町,【復】,36.31398,139.80472,000021_018,0
